INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
285449093,04/16/2024,18:10:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,WHITE HISPANIC,25-44,M,BLACK HISPANIC,1007885,246405,40.84297,-73.914577,POINT (-73.914577 40.84297)
286523175,05/07/2024,22:38:00,BROOKLYN,OUTSIDE,71,0,STREET,MULTI DWELL - APT BUILD,N,(null),(null),(null),18-24,M,BLACK,1002180,182672,40.668052,-73.935366,POINT (-73.935366 40.668052)
280245040,01/09/2024,17:21:00,BRONX,OUTSIDE,42,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,BLACK,1010069,244367,40.837369,-73.906691,POINT (-73.906691 40.837369)
282780443,02/25/2024,20:50:00,BRONX,OUTSIDE,47,0,COMMERCIAL,SMALL MERCHANT,N,(null),(null),(null),25-44,M,BLACK,1026242,262090,40.885953,-73.848134,POINT (-73.848134 40.885953)
284584434,03/30/2024,20:50:00,BRONX,OUTSIDE,46,0,STREET,(null),N,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1013076,252524,40.85974771441924,-73.89579068278967,POINT (-73.89579068278967 40.85974771441924)
283020987,02/29/2024,19:27:00,BRONX,INSIDE,40,0,COMMERCIAL,GROCERY/BODEGA,N,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1009568,236579,40.815995,-73.908532,POINT (-73.908532 40.815995)
288978574,06/22/2024,02:00:00,BRONX,OUTSIDE,41,0,STREET,(null),N,(null),(null),(null),18-24,F,WHITE HISPANIC,1013099,235152,40.81206655899077,-73.89578225284386,POINT (-73.89578225284386 40.81206655899077)
282117253,02/12/2024,15:00:00,BRONX,OUTSIDE,40,0,STREET,(null),N,(null),(null),(null),<18,M,BLACK,1010096,237401,40.818249,-73.906619,POINT (-73.906619 40.818249)
281250470,01/27/2024,18:35:00,STATEN ISLAND,OUTSIDE,120,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,962669,173939,40.644072673643095,-74.07776561403846,POINT (-74.07776561403846 40.644072673643095)
287857961,06/02/2024,10:24:00,BROOKLYN,INSIDE,73,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,<18,M,BLACK,<18,M,BLACK,1009515,183436,40.670131,-73.908924,POINT (-73.908924 40.670131)
285137849,04/10/2024,15:00:00,BRONX,OUTSIDE,44,0,STREET,(null),N,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1004826,240324,40.82628537945477,-73.92565280096316,POINT (-73.92565280096316 40.82628537945477)
285676185,04/19/2024,11:47:00,BROOKLYN,INSIDE,73,0,DWELLING,MULTI DWELL - APT BUILD,Y,25-44,F,BLACK,45-64,M,BLACK,1007944,184002,40.671689,-73.914583,POINT (-73.914583 40.671689)
287141672,05/19/2024,20:10:00,BROOKLYN,OUTSIDE,88,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,991391,192835,40.69596138105165,-73.97424788581966,POINT (-73.97424788581966 40.69596138105165)
289206887,06/27/2024,00:47:00,BRONX,OUTSIDE,40,0,OTHER,HOSPITAL,N,(null),(null),(null),UNKNOWN,M,BLACK,1005293,237196,40.8177,-73.923972,POINT (-73.923972 40.8177)
280502673,01/13/2024,18:43:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1009695,243534,40.835085,-73.908047,POINT (-73.908047 40.835085)
286656749,05/09/2024,22:48:00,BRONX,OUTSIDE,40,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1007107,238501,40.82127615554319,-73.9174170851279,POINT (-73.9174170851279 40.82127615554319)
286038325,04/28/2024,04:30:00,MANHATTAN,OUTSIDE,18,0,STREET,(null),N,18-24,M,WHITE HISPANIC,25-44,M,BLACK,985147,218635,40.76677888777605,-73.99676176889756,POINT (-73.99676176889756 40.76677888777605)
285449093,04/16/2024,18:10:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1007885,246405,40.84297,-73.914577,POINT (-73.914577 40.84297)
286725461,05/04/2024,19:55:00,BROOKLYN,OUTSIDE,76,0,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),18-24,M,WHITE HISPANIC,990484,190586,40.68979,-73.977519,POINT (-73.977519 40.68979)
282833318,02/26/2024,16:10:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,BLACK,996039,184097,40.671975,-73.957498,POINT (-73.957498 40.671975)
287193528,05/20/2024,19:04:00,BRONX,OUTSIDE,42,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),<18,M,BLACK,1009965,242932,40.833430121886735,-73.90707408350579,POINT (-73.90707408350579 40.833430121886735)
281593157,02/02/2024,23:08:00,BROOKLYN,INSIDE,69,0,COMMERCIAL,GROCERY/BODEGA,N,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1008632,171086,40.636236,-73.91215,POINT (-73.91215 40.636236)
287497158,05/26/2024,04:08:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1016459,185447,40.67563,-73.883881,POINT (-73.883881 40.67563)
283147870,03/03/2024,22:37:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,18-24,M,BLACK,25-44,M,WHITE HISPANIC,1001767,241659,40.829956,-73.936699,POINT (-73.936699 40.829956)
285137847,04/10/2024,15:01:00,MANHATTAN,OUTSIDE,25,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,18-24,M,BLACK HISPANIC,18-24,F,BLACK,1003280,229886,40.79763944992671,-73.93126854853195,POINT (-73.93126854853195 40.79763944992671)
287845254,06/01/2024,21:26:00,BRONX,INSIDE,43,0,PLAYGROUND,(null),N,(null),(null),(null),<18,M,BLACK HISPANIC,1020219,239110,,,
